epoch,MeanSquaredError,lambda,loss,val_MeanSquaredError,val_lambda,val_loss
0,0.0043508377857506275,0.0014170462964102626,0.0014170462964102626,0.0011849814327433705,0.00039488659240305424,0.00039488659240305424
1,0.0005476783844642341,0.00018671165162231773,0.00018671165162231773,0.0003024600737262517,0.00010597712389426306,0.00010597712389426306
2,0.0002212993858847767,7.740576256765053e-05,7.740576256765053e-05,0.00020145205780863762,6.991098780417815e-05,6.991098780417815e-05
3,0.00015065235493239015,5.289792170515284e-05,5.289792170515284e-05,0.0001574987400090322,5.726566450903192e-05,5.726566450903192e-05
4,0.00012130394316045567,4.248008917784318e-05,4.248008917784318e-05,0.0001225040905410424,4.302391243982129e-05,4.302391243982129e-05
5,9.039133874466643e-05,3.208535781595856e-05,3.208535781595856e-05,9.12234463612549e-05,3.252797250752337e-05,3.252797250752337e-05
6,8.300491754198447e-05,2.9368206014623865e-05,2.9368206014623865e-05,8.782174700172618e-05,3.099146852036938e-05,3.099146852036938e-05
7,7.614939386257902e-05,2.6942079784930684e-05,2.6942079784930684e-05,9.988909732783213e-05,3.41709928761702e-05,3.41709928761702e-05
8,6.148736429167911e-05,2.2105097741587088e-05,2.2105097741587088e-05,9.564194624545053e-05,3.2879346690606326e-05,3.2879346690606326e-05
9,5.846211206517182e-05,2.0998411855543964e-05,2.0998411855543964e-05,6.838031549705192e-05,2.4491971998941153e-05,2.4491971998941153e-05
10,4.9853071686811745e-05,1.8153974451706745e-05,1.8153974451706745e-05,8.45208705868572e-05,2.8912243578815833e-05,2.8912243578815833e-05
11,4.779268419952132e-05,1.7406009646947496e-05,1.7406009646947496e-05,5.61292763450183e-05,2.0203415260766633e-05,2.0203415260766633e-05
12,4.222623465466313e-05,1.5557772712782025e-05,1.5557772712782025e-05,4.559521403280087e-05,1.6882537238416262e-05,1.6882537238416262e-05
13,4.09503627452068e-05,1.5086258827068377e-05,1.5086258827068377e-05,4.6524310164386407e-05,1.7058986486517824e-05,1.7058986486517824e-05
14,3.69190784113016e-05,1.3748317542194854e-05,1.3748317542194854e-05,4.160163734923117e-05,1.541971869301051e-05,1.541971869301051e-05
15,3.6269149859435856e-05,1.3486610441759694e-05,1.3486610441759694e-05,5.050260733696632e-05,1.814454299164936e-05,1.814454299164936e-05
16,3.352468411321752e-05,1.2565404176712036e-05,1.2565404176712036e-05,4.0500661270925775e-05,1.4962944078433793e-05,1.4962944078433793e-05
17,3.280072269262746e-05,1.2299229638301767e-05,1.2299229638301767e-05,3.977052983827889e-05,1.4746304259460885e-05,1.4746304259460885e-05
18,3.085526986978948e-05,1.1642529898381326e-05,1.1642529898381326e-05,4.483317388803698e-05,1.6165486158570275e-05,1.6165486158570275e-05
19,3.0412988053285517e-05,1.146978229371598e-05,1.146978229371598e-05,3.708809526870027e-05,1.3794641745334957e-05,1.3794641745334957e-05
20,2.8982512958464213e-05,1.0984083928633481e-05,1.0984083928633481e-05,3.8348262023646384e-05,1.4083989299251698e-05,1.4083989299251698e-05
21,2.853237310773693e-05,1.081692516891053e-05,1.081692516891053e-05,3.482514148345217e-05,1.2991858966415748e-05,1.2991858966415748e-05
22,2.7458234399091452e-05,1.0454817129357252e-05,1.0454817129357252e-05,3.387056858628057e-05,1.2658046216529328e-05,1.2658046216529328e-05
